CODIGO;NOMBRE PARTIDA;INICIAL
010101.51.01.05.000.000.001; Remuneraciones Unificadas  ; 45,576.00 
010101.51.02.03.000.000.001; Decimotercer Sueldo  ; 6,460.00 
010101.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
010101.51.06.01.000.000.001;  Aporte Patronal  ; 7,480.68 
010101.51.05.10.000.000.001;Servicios Personales por Contrato; 31,944.00 
010101.51.06.02.000.000.001; Fondo de Reserva  ; 6,457.41 
010101.51.07.06.000.000.001; Beneficio por Jubilacion ; 50,817.34 
010101.51.07.07.000.000.001; Compensacion por Vacaciones  ; 6,460.00 
010101.53.06.12.000.000.001; Capacitacin a Servidores Publicos; 765.00 
020101.51.01.05.000.000.001; Remuneraciones Unificadas  ; 40,248.00 
020101.51.02.03.000.000.001; Decimotercer Sueldo  ; 4,766.00 
020101.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
020101.51.05.10.000.000.001;Servicios Personales por Contrato; 16,944.00 
020101.51.06.01.000.000.001; Aporte Patronal  ; 5,519.03 
020101.51.06.02.000.000.001; Fondo de Reserva  ; 4,764.10 
020101.51.07.07.000.000.001; Compensacion por Vacaciones  ; 3,780.00 
020101.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 1,147.50 
020101.57.02.06.000.000.001; Costas Judiciales tramites notariales legalizacion de documentos y arreglos  ; 10,327.50 
020101.84.01.03.000.000.001; Mobiliarios  ; 1,147.50 
020101.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 1,147.50 
020101.84.03.01.000.000.001;Terrenos; 53,550.00 
020102.51.01.05.000.000.001; Remuneraciones Unificadas  ; 23,664.00 
020102.51.02.03.000.000.001; Decimotercer Sueldo  ; 3,184.00 
020102.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,455.00 
020102.51.05.10.000.000.001;Servicios Personales por Contrato; 14,544.00 
020102.51.06.01.000.000.001; Aporte Patronal  ; 3,687.08 
020102.51.06.02.000.000.001; Fondo de Reserva  ; 3,182.72 
020102.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,212.00 
020102.53.02.07.000.000.001; Difusion Informacion  Publicidad ; 27,157.50 
020102.53.02.04.000.000.001;Edicion, Impresion, reproduccion, publicaciones, suscripciones, fotocopiado; 19,125.00 
020102.53.07.02.000.000.001; Arrendamiento y Licencias de uso de Paquetes Informaticos ; 306.00 
020102.84.01.03.000.000.001; Mobiliarios  ; 535.50 
020102.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 4,590.00 
020103.51.01.05.000.000.001; Remuneraciones Unificadas  ; 37,056.00 
020103.51.02.03.000.000.001; Decimotercer Sueldo  ; 5,512.00 
020103.51.02.04.000.000.001; Decimocuarto Sueldo  ; 1,940.00 
020103.51.05.10.000.000.001;Servicios Personales por Contrato; 29,088.00 
020103.51.06.01.000.000.001; Aporte Patronal  ; 6,382.89 
020103.51.07.07.000.000.001;Compesaciones por Vacaciones; 2,424.00 
020103.51.06.02.000.000.001; Fondo de Reserva  ; 5,509.79 
020102.51.07.07.000.000.001; Compensacion por Vacaciones  ; 1,676.00 
020103.53.06.11.000.000.001;Congresos, Seminarios y Convenciones; 13,005.00 
020103.53.08.13.000.000.001; Repuestos y Accesorios  ; 994.50 
020103.84.01.03.000.000.001; Mobiliarios  ; 3,825.00 
020103.84.01.07.000.000.001; Equipos y sistemas y paquetes informaticos  ; 1,683.00 
030101.51.01.05.000.000.001; Remuneraciones Unificadas  ; 98,784.00 
030101.51.01.06.000.000.001; Salarios Unificados  ; 16,164.00 
030101.51.02.03.000.000.001; Decimotercer Sueldo  ; 9,579.00 
030101.51.02.04.000.000.001; Decimocuarto Sueldo  ; 5,336.00 
030101.51.03.04.000.000.001; Compensacion por Transporte  ; 132.00 
030101.51.03.06.000.000.001; Alimentacion  ; 726.00 
030101.51.04.08.000.000.001; Subsidio de Antiguedad ; 251.99 
030101.51.06.01.000.000.001; Aporte Patronal  ; 11,276.68 
030101.51.06.02.000.000.001; Fondo de Reserva  ; 9,575.18 
030101.51.07.06.000.000.001; Beneficio por Jubilacion ; 40,642.08 
030101.51.07.07.000.000.001; Compensacion por Vacaciones  ; 3,101.00 
