"id","name","model_id:id","group_id:id","perm_read","perm_write","perm_create","perm_unlink"
"gt_assent_type_manager","gt.assent.type","model_gt_assent_type","group_asisgob_manager",1,1,1,1
"gt_report_type_manager","gt.report.type","model_gt_report_type","group_asisgob_manager",1,1,1,1
"gt_history_manager","gt.history","model_gt_history","group_asisgob_manager",1,1,1,1
"gt_wizard_history_manager","gt.wizard.history","model_gt_wizard_history","group_asisgob_manager",1,1,1,1
"gt_field_workable_manager","gt.field.workable","model_gt_field_workable","group_asisgob_manager",1,1,1,1
"assistance_summary_manager","assistance.summary","model_assistance_summary","group_asisgob_manager",1,1,1,1
"assistance_summary_line_manager","assistance.summary.line","model_assistance_summary_line","group_asisgob_manager",1,1,1,1
"assistance_resumen_diario_manager","assistance.resumen.diario","model_assistance_resumen_diario","group_asisgob_manager",1,1,1,1
"assistance_resumen_diario_line_manager","assistance.resumen.diario.line","model_assistance_resumen_diario_line","group_asisgob_manager",1,1,1,1
"gt_process_log_manager","gt.process.log","model_gt_process_log","group_asisgob_manager",1,1,1,1
"gt_assent_type_user","gt.assent.type","model_gt_assent_type","group_asisgob_user",1,1,1,0
"gt_report_type_user","gt.report.type","model_gt_report_type","group_asisgob_user",1,1,1,0
"gt_history_user","gt.history","model_gt_history","group_asisgob_user",1,1,1,0
"gt_wizard_history_user","gt.wizard.history","model_gt_wizard_history","group_asisgob_user",1,1,1,0
"gt_field_workable_user","gt.field.workable","model_gt_field_workable","group_asisgob_user",1,1,1,0
"assistance_summary_user","assistance.summary","model_assistance_summary","group_asisgob_user",1,1,1,0
"hr_attendance","hr.attendance","model_hr_attendance","group_asisgob_user",1,0,0,0
"assistance_summary_line_user","assistance.summary.line","model_assistance_summary_line","group_asisgob_user",1,1,1,0
"assistance_resumen_diario_user","assistance.resumen.diario","model_assistance_resumen_diario","group_asisgob_user",1,1,1,0
"assistance_resumen_diario_line_user","assistance.resumen.diario.line","model_assistance_resumen_diario_line","group_asisgob_user",1,1,1,0
"gt_process_log_user","gt.process.log","model_gt_process_log","group_asisgob_user",1,1,1,0
"gt_assent_type_readonly","gt.assent.type","model_gt_assent_type","group_asisgob_readonly",0,0,0,0
"gt_report_type_readonly","gt.report.type","model_gt_report_type","group_asisgob_readonly",1,0,0,0
"gt_history_readonly","gt.history","model_gt_history","group_asisgob_readonly",1,0,0,0
"gt_wizard_history_readonly","gt.wizard.history","model_gt_wizard_history","group_asisgob_readonly",0,0,0,0
"gt_field_workable_readonly","gt.field.workable","model_gt_field_workable","group_asisgob_readonly",0,0,0,0
"assistance_summary_readonly","assistance.summary","model_assistance_summary","group_asisgob_readonly",1,0,0,0
"assistance_summary_line_readonly","assistance.summary.line","model_assistance_summary_line","group_asisgob_readonly",1,0,0,0
"assistance_resumen_diario_readonly","assistance.resumen.diario","model_assistance_resumen_diario","group_asisgob_readonly",1,0,0,0
"assistance_resumen_diario_line_readonly","assistance.resumen.diario.line","model_assistance_resumen_diario_line","group_asisgob_readonly",1,0,0,0
"gt_process_log_readonly","gt.process.log","model_gt_process_log","group_asisgob_readonly",1,0,0,0
"gt_assent_type_user_ht","gt.assent.type","model_gt_assent_type","group_asisgob_user_ht",1,0,0,0
"gt_report_type_user_ht","gt.report.type","model_gt_report_type","group_asisgob_user_ht",1,0,0,0
"gt_history_user_ht","gt.history","model_gt_history","group_asisgob_user_ht",1,1,1,0
"gt_wizard_history_user_ht","gt.wizard.history","model_gt_wizard_history","group_asisgob_user_ht",1,1,1,0
"gt_field_workable_user_ht","gt.field.workable","model_gt_field_workable","group_asisgob_user_ht",1,0,0,0
"assistance_summary_user_ht","assistance.summary","model_assistance_summary","group_asisgob_user_ht",1,1,1,0
"assistance_summary_line_user_ht","assistance.summary.line","model_assistance_summary_line","group_asisgob_user_ht",1,1,1,0
"assistance_resumen_diario_user_ht","assistance.resumen.diario","model_assistance_resumen_diario","group_asisgob_user_ht",1,1,1,0
"assistance_resumen_diario_line_user_ht","assistance.resumen.diario.line","model_assistance_resumen_diario_line","group_asisgob_user_ht",1,1,1,0
"gt_process_log_user_ht","gt.process.log","model_gt_process_log","group_asisgob_user_ht",1,0,1,0
"hr_attendance_manager","hr.attendance","model_hr_attendance","group_asisgob_manager",1,1,1,0
"hr_attendance_user","hr.attendance","model_hr_attendance","group_asisgob_user",1,0,0,0
"hr_attendance_readonly","hr.attendance","model_hr_attendance","group_asisgob_readonly",1,0,0,0
"hr_attendance_user_ht","hr.attendance","model_hr_attendance","group_asisgob_user_ht",1,1,1,0
"resource_calendar_user_ht","resource.calendar","model_resource_calendar","group_asisgob_user_ht",1,1,1,0
"resource_calendar_manager","resource.calendar","model_resource_calendar","group_asisgob_manager",1,1,1,1
"resource_calendar_user","resource.calendar","model_resource_calendar","group_asisgob_user",1,0,0,0
