id,name,agrupa,texto,regla
12498001,12498001,BALANCE,Flujo deudor de 12498 debe haber solo en apertura.,"abs((balance.get('12498',0) and balance['12498']['debe_flujo']))<0.001"
12498113,12498113,BALANCE,La suma del flujo acreedor de 12498 debe ser igual al flujo deudor de la cuenta contable 11398-11397.,"abs((balance.get('12498',0) and balance['12498']['haber_flujo']) - (balance.get('11398',0) and balance['11398']['haber_flujo']) - (balance.get('11397',0) and balance['11397']['haber_flujo']))<0.001"
1249838,1249838,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 38 de la columna Pagado debe ser igual al flujo deudor de la cuenta contable 12498.,"abs((cedula.get('38',0) and cedula['38']['devengado_amount']) - (balance.get('12498',0) and balance['12498']['haber_flujo']))<0.001"
14,14,BALANCE,El flujo deudor de las cuenta 911 debe ser igual a los flujo acreedor de la cuenta 921,"abs((balance.get('911',0) and balance['911']['debe_flujo']) - (balance.get('921',0) and balance['921']['haber_flujo']))<0.001"
22301,22301,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 96 de la columna Devengado debe ser igual al flujo deudor de la cuenta contable 22301.,"abs((cedula.get('96',0) and cedula['96']['devengado_amount']) - (balance.get('22301',0) and balance['22301']['debe_flujo']))<0.001"
223010,223010,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 96 de la columna Pagado debe ser igual al flujo deudor de la cuenta contable 21396.,"abs((cedula.get('96',0) and cedula['96']['devengado_amount']) - (balance.get('21396',0) and balance['21396']['haber_flujo']))<0.001"
1133696,1133696,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 96 de la columna Recaudado debe ser igual al flujo deudor de la cuenta contable 11336.,"abs((cedula.get('96',0) and cedula['96']['paid_amount']) - (balance.get('21396',0) and balance['21396']['debe_flujo']))<0.001"
213960,213960,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 96 de la columna Pagado debe ser igual al flujo acreedor de la cuenta contable 21396.,"abs((cedula.get('96',0) and cedula['96']['paid_amount']) - (balance.get('21396',0) and balance['21396']['haber_flujo']))<0.001"
101,101,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 11 de la columna Recaudado debe ser igual al flujo acreedor de la cuenta contable 11311.,"abs((cedula.get('11',0) and cedula['11']['paid_amount']) - (balance.get('11311',0) and balance['11311']['haber_flujo']))<0.001"
102,102,PRESUPUESTO_BALANCE,La suma de los montos de los ítems del grupo 13 de la columna Recaudado debe ser igual al flujo acreedor de la cuenta contable 11313.,"abs((cedula.get('13',0) and cedula['13']['paid_amount']) - (balance.get('11313',0) and balance['11313']['haber_flujo']))<0.001"
