id,name,code,budget_debe/id,budget_haber/id
11311,Cuentas por Cobrar Impuestos,113.11,gt_budget.11,gt_budget.11
11313,Cuentas por Cobrar Tasas y Contribuciones,113.13,gt_budget.13,gt_budget.13
11314,Cuentas por Cobrar Venta de Bienes y Servicios,113.14,gt_budget.14,gt_budget.14
11317,Cuentas por Cobrar Rentas de Inversiones y Multas,113.17,gt_budget.17,gt_budget.17
11318,Cuentas por Cobrar Transferencias y Donaciones Corrientes,113.18,gt_budget.18,gt_budget.18
11319,Cuentas por Cobrar Otros Ingresos,113.19,gt_budget.19,gt_budget.19
11324,Cuentas por Cobrar Venta de Activos no Financieros,113.24,gt_budget.24,gt_budget.24
11327,Cuentas por Cobrar Recuperaci�n de Inversiones,113.27,gt_budget.27,gt_budget.27
11328,Cuentas por Cobrar Transferencias y Donaciones de Capital e Inversi�n,113.28,gt_budget.28,gt_budget.28
11336,Cuentas por Cobrar Financiamiento P�blico,113.36,gt_budget.36,gt_budget.36
11397,Cuentas por Cobrar Anticipos de Fondos de A�os Anteriores,113.97,gt_budget.38,gt_budget.38
11398,Cuentas por Cobrar de A�os Anteriores,113.98,gt_budget.38,gt_budget.38
1210103,Dep�sitos a Plazo,121.01.03,gt_budget.870103,gt_budget.270103
1210501,Certificados del tesoro nacional,121.05.01,gt_budget.870101,gt_budget.270101
1210502,Bonos del estado ,121.05.02,gt_budget.870102,gt_budget.270102
1210599,Otras inversiones,121.05.99,gt_budget.870199,gt_budget.270199
1210704,Acciones,121.07.04,gt_budget.870104,gt_budget.270104
1210707,Participaciones Fiduciarias,121.07.07,gt_budget.870107,gt_budget.270107
1210799,Otras Inversiones en Valores,121.07.99,gt_budget.870199,gt_budget.270199
1220504,Acciones,122.05.04,gt_budget.870304,gt_budget.270304
1220598,Otras inversiones en titulos,122.05.98,gt_budget.870398,gt_budget.270398
1220599,Otras inversiones en valores,122.05.99,gt_budget.870399,gt_budget.270399
1230101,Pr�stamos al Gobierno Central,123.01.01,gt_budget.870201,gt_budget.270201
1230102,Pr�stamos a Entidades Descentralizadas y Aut�nomas,123.01.02,gt_budget.870202,gt_budget.270202
1230103,Pr�stamos a Empresas P�blicas,123.01.03,gt_budget.870203,gt_budget.270203
1230104,Pr�stamos a Entidades del Gobierno Aut�nomo Descentralizado,123.01.04,gt_budget.870204,gt_budget.270204
1230105,Pr�stamos a la Seguridad Social,123.01.05,gt_budget.870205,gt_budget.270205
1230106,Pr�stamos a Entidades Financieras P�blicas,123.01.06,gt_budget.870206,gt_budget.270206
1230107,Pr�stamos al Sector Privado,123.01.07,gt_budget.870207,gt_budget.270207
1230111,Anticipos a Servidores P�blicos,123.01.11,gt_budget.870211,gt_budget.270211
1240101,Cr�dito Fiscal por Compras y Consumo,124.01.01,gt_budget.530901,gt_budget.180101
1240103,Cr�dito Fiscal por Compras y Producci�n,124.01.03,gt_budget.630901,gt_budget.180101
1240105,Cr�dito Fiscal por Compras y Inversi�n,124.01.05,gt_budget.730901,gt_budget.180101
1240301,Cr�dito Fiscal por Compras,124.03.01,gt_budget.840901,gt_budget.280101
1249702,De Anticipos de Fondos por Devengar de Entidades que Conforman el Presupuesto General del Estado (PGE).,124.97.02,,gt_budget.380102
1249703,Anticipos por  Devengar de Ejercicios Anteriores - Construcci�n de Obras,124.97.03,,gt_budget.380103
1249705,Anticipos por Devengar de Ejercicios Anteriores - Compra de Bienes y/o Servicios,124.97.05,,gt_budget.380105
1249707,Anticipos por Devengar de Ejercicios Anteriores de GAD's y Empresas P�blicas  - Compra de Bienes y/o Servicios,124.97.07,,gt_budget.380107
