id,code_aux,code,name,internal_type,budget_type_id/id,parent_id/id,venta,tipo
0,0,0,CLASIFICADOR PRESUPUESTARIO,view,vista,,0,i
1,1,1,INGRESOS CORRIENTES,view,vista,0,0,i
11,11,11,IMPUESTOS,view,vista,1,0,i
1101,1101,1101,SOBRE LA RENTA UTILIDADES Y GANANCIAS DE CAPITAL,view,vista,11,0,i
110101,110101,110101,A LA RENTA GLOBAL,normal,corriente,1101,0,i
110102,110102,110102,A LA UTILIDAD POR LA VENTA DE PREDIOS URBANOS Y PLUSVALIA,normal,corriente,1101,1,i
110103,110103,110103,A LA UTILIDAD POR LA VENTA DE PREDIOS RURALES,normal,corriente,1101,0,i
110104,110104,110104,A LOS JUEGOS DE AZAR,normal,corriente,1101,0,i
110199,110199,110199,A OTRAS RENTAS UTILIDADES Y BENEFICIOS DE CAPITAL,normal,corriente,1101,0,i
1102,1102,1102,SOBRE LA PROPIEDAD,view,vista,11,0,i
110201,110201,110201,A LOS PREDIOS URBANOS,normal,corriente,1102,0,i
110202,110202,110202,A LOS PREDIOS RURALES,normal,corriente,1102,0,i
110203,110203,110203,A LA INSCRIPCION EN EL REGISTRO DE LA PROPIEDAD O EN EL REGISTRO,normal,corriente,1102,1,i
110204,110204,110204,A LAS TRANSMISIONES DE DOMINIO,normal,corriente,1102,0,i
110205,110205,110205,DE VEHICULOS MOTORIZADOS DE TRANSPORTE TERRESTRE,normal,corriente,1102,1,i
110206,110206,110206,DE ALCABALAS,normal,corriente,1102,1,i
110207,110207,110207,A LOS ACTIVOS TOTALES,normal,corriente,1102,1,i
110208,110208,110208,DE VEHICULOS MOTORIZADOS DE TRANSPORTE AEREO Y ACUATICO,normal,corriente,1102,1,i
110210,110210,110210,A LA PROPIEDAD DE INMUEBLES URBANOS PARA VIVIENDA DE INTERES SOCIAL,normal,corriente,1102,1,i
110211,110211,110211,IMPUESTO A LAS TIERRAS RURALES,normal,corriente,1102,1,i
110212,110212,110212,IMPUESTOS A LOS ACTIVOS EN EL EXTERIOR,normal,corriente,1102,1,i
110299,110299,110299,OTROS IMPUESTOS SOBRE LA PROPIEDAD,normal,corriente,1102,1,i
1103,1103,1103,AL CONSUMO DE BIENES Y SERVICIOS,view,vista,11,1,i
110301,110301,110301,AL CONSUMO DE CIGARRILLOS,normal,corriente,1103,1,i
110302,110302,110302,AL CONSUMO DE CERVEZA,normal,corriente,1103,1,i
110303,110303,110303,AL CONSUMO DE BEBIDAS GASEOSAS,normal,corriente,1103,1,i
110304,110304,110304,AL CONSUMO DE ALCOHOL Y PRODUCTOS ALCOHOLICOS,normal,corriente,1103,1,i
110305,110305,110305,AL CONSUMO DE BIENES SUNTUARIOS,normal,corriente,1103,1,i
110311,110311,110311,A LAS TELECOMUNICACIONES,normal,corriente,1103,1,i
110312,110312,110312,A LOS ESPECTACULOS PUBLICOS,normal,corriente,1103,1,i
